Codigo;CodTipo;Tipo;coordenadas
79;1;Cajeros Automáticos;-79.880615,-2.189985
80;1;Cajeros Automáticos;-79.879924,-2.191144
81;1;Cajeros Automáticos;-79.879511,-2.187539
82;1;Cajeros Automáticos;-79.898076,-2.181847
83;1;Cajeros Automáticos;-79.907486,-2.172754
84;1;Cajeros Automáticos;-79.920293,-2.159776
85;1;Cajeros Automáticos;-79.898076,-2.181847
86;1;Cajeros Automáticos;-79.910196,-2.168666
87;1;Cajeros Automáticos;-79.907073,-2.1732
88;1;Cajeros Automáticos;-79.88074,-2.197567
89;1;Cajeros Automáticos;-79.881012,-2.195124
90;1;Cajeros Automáticos;-79.876595,-2.186209
91;1;Cajeros Automáticos;-79.884167,-2.192355
92;1;Cajeros Automáticos;-79.532044,-2.125454
93;1;Cajeros Automáticos;-79.890945,-2.222112
94;1;Cajeros Automáticos;-79.890791,-2.231521
95;1;Cajeros Automáticos;-79.888753,-2.216272
96;1;Cajeros Automáticos;-79.894396,-2.249915
97;1;Cajeros Automáticos;-79.889608,-2.226743
98;1;Cajeros Automáticos;-79.893191,-2.218593
99;1;Cajeros Automáticos;-79.897823,-2.233232
100;1;Cajeros Automáticos;-79.890104,-2.233301
101;1;Cajeros Automáticos;-79.900446,-2.170346
102;1;Cajeros Automáticos;-79.900446,-2.170346
103;1;Cajeros Automáticos;-79.898336,-2.173694
104;1;Cajeros Automáticos;-79.900446,-2.170346
105;1;Cajeros Automáticos;-79.879103,-2.170548
106;1;Cajeros Automáticos;-79.890137,-2.171598
107;1;Cajeros Automáticos;-79.901256,-2.135942
108;1;Cajeros Automáticos;-79.90821,-2.139457
109;1;Cajeros Automáticos;-79.892825,-2.151207
110;1;Cajeros Automáticos;-79.893299,-2.145993
111;1;Cajeros Automáticos;-79.906686,-2.127726
112;1;Cajeros Automáticos;-79.897516,-2.141857
113;1;Cajeros Automáticos;-79.899265,-2.169282
114;1;Cajeros Automáticos;-79.897669,-2.141063
115;1;Cajeros Automáticos;-79.901882,-2.134486
116;1;Cajeros Automáticos;-79.892314,-2.148541
117;1;Cajeros Automáticos;-79.911686,-2.09842
118;1;Cajeros Automáticos;-79.926049,-2.213906
119;1;Cajeros Automáticos;-79.926254,-2.199381
120;1;Cajeros Automáticos;-79.91249,-2.187119
121;1;Cajeros Automáticos;-79.914952,-2.20096
122;1;Cajeros Automáticos;-79.966915,-2.18723
123;1;Cajeros Automáticos;-79.905641,-2.199177
124;1;Cajeros Automáticos;-79.935208,-2.196165
125;1;Cajeros Automáticos;-79.93064,-2.211916
126;1;Cajeros Automáticos;-79.923683,-2.200088
127;1;Cajeros Automáticos;-79.93296,-2.197884
128;1;Cajeros Automáticos;-79.915998,-2.201171
129;1;Cajeros Automáticos;-79.9266751,-2.216278
130;1;Cajeros Automáticos;-79.907284,-2.210434
131;1;Cajeros Automáticos;-79.935473,-2.215285
132;1;Cajeros Automáticos;-79.911099,-2.203168
133;1;Cajeros Automáticos;-79.900344,-2.200884
134;1;Cajeros Automáticos;-79.9064,-2.19402
135;1;Cajeros Automáticos;-79.932147,-2.212061
136;1;Cajeros Automáticos;-79.886812,-2.192788
137;1;Cajeros Automáticos;-79.89625,-2.195476
138;1;Cajeros Automáticos;-79.888857,-2.203624
139;1;Cajeros Automáticos;-79.887813,-2.196515
140;1;Cajeros Automáticos;-79.885004,-2.190804
141;1;Cajeros Automáticos;-79.895093,-2.192068
142;1;Cajeros Automáticos;-79.892842,-2.20237
143;1;Cajeros Automáticos;-79.883408,-2.191313
144;1;Cajeros Automáticos;-79.887982,-2.185783
145;1;Cajeros Automáticos;-79.893384,-2.201956
146;1;Cajeros Automáticos;-79.906347,-2.276737
147;1;Cajeros Automáticos;-79.896288,-2.263092
148;1;Cajeros Automáticos;-79.899274,-2.251134
149;1;Cajeros Automáticos;-79.91896,-2.240381
150;1;Cajeros Automáticos;-79.905291,-2.152319
151;1;Cajeros Automáticos;-79.891858,-2.155577
152;1;Cajeros Automáticos;-79.922677,-2.145164
153;1;Cajeros Automáticos;-79.910484,-2.147976
154;1;Cajeros Automáticos;-79.912206,-2.14801
155;1;Cajeros Automáticos;-79.922639,-2.142471
156;1;Cajeros Automáticos;-79.891858,-2.155577
157;1;Cajeros Automáticos;-79.884039,-2.199621
158;1;Cajeros Automáticos;-79.884495,-2.204937
159;1;Cajeros Automáticos;-79.885151,-2.197424
160;1;Cajeros Automáticos;-79.882883,-2.199793
161;1;Cajeros Automáticos;-79.884887,-2.20642
162;1;Cajeros Automáticos;-79.882894,-2.193846
163;1;Cajeros Automáticos;-79.881385,-2.193997
164;1;Cajeros Automáticos;-79.882162,-2.191858
165;1;Cajeros Automáticos;-79.88543,-2.190625
166;1;Cajeros Automáticos;-79.881357,-2.192819
167;1;Cajeros Automáticos;-79.886101,-2.177103
168;1;Cajeros Automáticos;-79.893705,-2.18799
169;1;Cajeros Automáticos;-79.894558,-2.196441
170;1;Cajeros Automáticos;-79.890362,-2.188624
171;1;Cajeros Automáticos;-79.889649,-2.18237
172;1;Cajeros Automáticos;-79.883727,-2.181913
173;1;Cajeros Automáticos;-79.881135,-2.18308
174;1;Cajeros Automáticos;-79.887543,-2.175917
175;1;Cajeros Automáticos;-79.897854,-2.186043
176;1;Cajeros Automáticos;-79.884201,-2.176976
177;1;Cajeros Automáticos;-79.844109,-2.178245
178;1;Cajeros Automáticos;-79.854034,-2.169917
179;1;Cajeros Automáticos;-79.792819,-2.165966
180;1;Cajeros Automáticos;-79.853739,-2.17987
181;1;Cajeros Automáticos;-79.841557,-2.168154
182;1;Cajeros Automáticos;-79.852105,-2.168986
183;1;Cajeros Automáticos;-79.840859,-2.168542
184;1;Cajeros Automáticos;-79.789497,-2.166183
185;1;Cajeros Automáticos;-79.811293,-2.179167
186;1;Cajeros Automáticos;-79.842259,-2.162144
187;1;Cajeros Automáticos;-79.890432,-2.137387
188;1;Cajeros Automáticos;-79.905887,-2.132891
189;1;Cajeros Automáticos;-79.883506,-2.148013
190;1;Cajeros Automáticos;-79.897519,-2.126079
191;1;Cajeros Automáticos;-79.879053,-2.14274
192;1;Cajeros Automáticos;-79.88525,-2.144441
193;1;Cajeros Automáticos;-79.879053,-2.14274
194;1;Cajeros Automáticos;-79.884489,-2.148763
195;1;Cajeros Automáticos;-79.880401,-2.140092
196;1;Cajeros Automáticos;-79.893699,-2.121328
197;1;Cajeros Automáticos;-79.887193,-2.135029
198;1;Cajeros Automáticos;-79.892744,-2.128011
199;1;Cajeros Automáticos;-79.878318,-2.152708
200;1;Cajeros Automáticos;-79.898148,-2.169064
201;1;Cajeros Automáticos;-79.891644,-2.163242
202;1;Cajeros Automáticos;-79.895808,-2.164651
203;1;Cajeros Automáticos;-79.896105,-2.167846
204;1;Cajeros Automáticos;-79.896488,-2.16391
205;1;Cajeros Automáticos;-79.898277,-2.228718
206;1;Cajeros Automáticos;-79.898526,-2.229907
207;1;Cajeros Automáticos;-79.898366,-2.228314
208;1;Cajeros Automáticos;-79.897939,-2.225544
209;1;Cajeros Automáticos;-79.899257,-2.249339
210;1;Cajeros Automáticos;-79.934271,-2.203329
211;1;Cajeros Automáticos;-79.883155,-2.251499
212;1;Cajeros Automáticos;-79.904563,-2.22239
213;1;Cajeros Automáticos;-79.899491,-2.218444
214;1;Cajeros Automáticos;-79.909765,-2.218858
215;1;Cajeros Automáticos;-79.904832,-2.225347
216;1;Cajeros Automáticos;-79.906132,-2.229594
217;1;Cajeros Automáticos;-79.898526,-2.229907
218;1;Cajeros Automáticos;-79.95025,-2.058861
219;1;Cajeros Automáticos;-79.934868,-2.129053
220;1;Cajeros Automáticos;-79.95348,-2.104595
221;1;Cajeros Automáticos;-79.927794,-2.100513
222;1;Cajeros Automáticos;-79.953015,-2.064303
223;1;Cajeros Automáticos;-79.950152,-2.119319
224;1;Cajeros Automáticos;-79.940038,-2.073984
225;1;Cajeros Automáticos;-79.941165,-2.070352
226;1;Cajeros Automáticos;-79.950412,-2.088651
227;1;Cajeros Automáticos;-79.949096,-2.130009
228;1;Cajeros Automáticos;-79.934384,-2.10494
229;1;Cajeros Automáticos;-79.937166,-2.094215
230;1;Cajeros Automáticos;-79.935342,-2.098837
231;1;Cajeros Automáticos;-79.936166,-2.100479
232;1;Cajeros Automáticos;-79.962377,-2.008881
233;1;Cajeros Automáticos;-79.947682,-2.11642
234;1;Cajeros Automáticos;-79.936518,-2.098181
235;1;Cajeros Automáticos;-79.937437,-2.099395
236;1;Cajeros Automáticos;-79.936636,-2.099025
237;1;Cajeros Automáticos;-79.937166,-2.094215
238;1;Cajeros Automáticos;-79.932224,-2.121542
239;1;Cajeros Automáticos;-79.944003,-2.064467
240;1;Cajeros Automáticos;-79.936923,-2.095706
241;1;Cajeros Automáticos;-79.969866,-1.995313
242;1;Cajeros Automáticos;-79.932383,-2.068242
243;1;Cajeros Automáticos;-79.932687,-2.119264
244;1;Cajeros Automáticos;-79.863035,-2.144276
245;1;Cajeros Automáticos;-79.86434,-2.145866
246;1;Cajeros Automáticos;-79.865341,-2.148863
247;1;Cajeros Automáticos;-79.864105,-2.143624
248;1;Cajeros Automáticos;-79.916673,-2.168763
